countryId,name,
20,afghanistan,Dari Persian
20,afghanistan,Pashtu
20,afghanistan, Turkic
228,aland-islands,Swedish
21,albania,Albanian 
21,albania, Greek
22,algeria,Arabic 
22,algeria,Berber
22,algeria, French
23,american-samoa,Samoan
23,american-samoa,English
24,andorra,Catalan
25,angola,Portuguese
26,anguilla,English
28,antigua-barbuda,English
29,argentina,Spanish
29,argentina,German
29,argentina, French
29,argentina,Italian
29,argentina,English
30,armenia,Armenian
31,aruba, Papiamento
31,aruba,Dutch
32,australia,English
33,austria,German 
33,austria,Slovene
33,austria,Hungarian
34,azerbaijan,Azerbaijani Turkic
35,bahamas,English  
35,bahamas,Creole
36,bahrain,Arabic
36,bahrain,English
36,bahrain,Farsi
36,bahrain,Urdu
37,bangladesh,Bangla
38,barbados,English
39,belarus,Belorussian 
39,belarus,Russian
40,belgium,Dutch  
40,belgium,French
41,belize,English Garifuna 
41,belize,Mayan
41,belize,Creole
41,belize, Spanish
42,benin,French
42,benin,Fon
42,benin,Yoruba
43,bermuda, English
43,bermuda,Portuguese
44,bhutan,Dzongkha
44,bhutan,Tibetan dialects
44,bhutan,Nepalese 
45,bolivia,Spanish
45,bolivia,Quechua
45,bolivia,Aymara
229,bonaire-st-eustatius-saba,Dutch
229,bonaire-st-eustatius-saba,English
46,bosnia-herzegovina,Bosnian
46,bosnia-herzegovina,Croatian
46,bosnia-herzegovina,Serbian
47,botswana,Setswana
230,bouvet-island,English
48,brazil,Portuguese
48,brazil,Spanish
48,brazil,English
48,brazil,French
49,british-virgin-islands,English
50,brunei,Malay
50,brunei,English
50,brunei,Chinese
51,bulgaria,Bulgarian
52,burkina-faso,French 
52,burkina-faso,Sudanic 
53,burma-myanmar,Burmese
54,burundi,Kirundi
54,burundi,French 
55,cambodia,Khmer 
56,cameroon,French
56,cameroon,English
1,canada,English
1,canada, French
57,cape-verde-island,Portuguese
58,cayman-islands,English
59,central-african-republic,French
59,central-african-republic,Sango
60,chad,French
60,chad,Arabic 
60,chad,Sara
61,chile,Spanish
2,china,Chinese
2,china,Yue
2,china,Wu 
2,china,Minbei
2,china,Xiang
2,china,Gan
2,china,Hakka dialects
62,christmas-island,English
63,cocos-islands,English
64,colombia,Spanish
65,comoros,Arabic 
65,comoros,French
68,cook-islands,Rarotongan 
68,cook-islands,English
69,costa-rica,Spanish
70,croatia,Croatian
71,cuba,Spanish
232,curacao,Dutch
232,curacao,Papiamento language
72,cyprus,Greek 
72,cyprus,Turkish
73,czech-republic,Czech
67,democratic-republic-of-congo,French
74,denmark,Danish
74,denmark,Faroese
74,denmark,Greenlandic
75,djibouti,French 
75,djibouti,Arabi
76,dominica,English
76,dominica,French patois
77,dominican-republic,Spanish
78,ecuador,Spanish  
78,ecuador,Quechua
79,egypt,Arabic
79,egypt,English
80,el-salvador, Spanish
80,el-salvador,Nahua
81,equatorial-guinea,Spanish
81,equatorial-guinea, French
81,equatorial-guinea,pidgin English
82,eritrea,Afar
82,eritrea,Arabic
82,eritrea,Tigre 
82,eritrea,"Kunama,"
83,estonia,Estonian
83,estonia,Russian
84,ethiopia,Amharic
84,ethiopia,Tigrigna
84,ethiopia,Orominga
84,ethiopia,Somali
85,faeroe-islands,Faroese   
85,faeroe-islands,Danish
86,falkland-islands,English
87,fiji-islands,English
88,finland,Finnish
3,france,French
89,french-guiana,Haitian
89,french-guiana,Hmong Njua
90,french-polynesia,French
233,french-southern-territories,French
91,gabon,French  
91,gabon,Fang
91,gabon,Myene
92,gambia,English
92,gambia,Mandinka
92,gambia,Wolof
93,georgia,Georgian
4,germany,German
94,ghana,English
95,gibraltar,English
96,greece,Greek
97,greenland,Greenlandic
98,grenada,English
99,guadeloupe,French
100,guam,Chamorro
100,guam,English
101,guatemala,Spanish
101,guatemala,Amerindian
234,guernsey,Guernsey
102,guinea,French
103,guinea-bissau,Portuguese
103,guinea-bissau,Criolo
104,guyana,Amerindian
104,guyana,English
105,haiti,Creole 
105,haiti,French
235,heard-island-mcdonald-islands,English
106,honduras,Spanish
5,hong-kong,chinese
5,hong-kong,English
6,hungary,Magyar
107,iceland,Icelandic
107,iceland,English
108,india,Hindi
108,india,punjabi
108,india,Telugu
108,india,Tamil
108,india,Urdu
108,india,sanskrit
108,india,marathi
108,india,kanada
108,india,sindhi
108,india,Kashmiri
108,india,Bengali
108,india,Assamese
108,india,Oriya
108,india,Malayalam
108,india,maithili
108,india,Bhili/Bhilodi
108,india,Santali
108,india,Nepali
108,india,Gondi
108,india,Konkani
108,india,Dogri
108,india,Khandeshi
108,india,Kurukh
108,india,Tulu
108,india,Mitei/Manipuru
108,india,Bodo
108,india,Khasi
108,india,Mundari
108,india,Ho
110,indonesia,Bahasa Indonesia
110,indonesia,English
110,indonesia,Dutch
111,iran,Persian
111,iran,Turkic
112,iraq,Arabic
112,iraq,Kurdish
112,iraq,Assyrian
236,ireland,Irish
236,ireland,English
7,isle-of-man,English
7,isle-of-man,Manx 
8,israel,Hebrew
8,israel,Arabic
113,italy,Italian
113,italy,German
113,italy,French
114,ivory-coast,French
9,jamaica,Jamaican Creole
9,Jamaican Creole,English
237,japan,Japanese
115,jersey,English
115,jersey,French
116,jordan,Arabic
116,jordan,English
117,kazakhstan,Kazak
117,kazakhstan,Russian
118,kenya,English
119,kiribati,I-Kiribati
119,kiribati,English
121,kuwait,Arabic
121,kuwait,English
122,kyrgyzstan,krygyz
122,kyrgyzstan,Russian
123,laos,Lao
123,laos,French
123,laos,English
124,latvia,Latvian
124,latvia,Russian
125,lebanon,Arabic
125,lebanon,Russian
126,lesotho,English
126,lesotho,Sesotho
127,liberia,English
128,libya,Arabic
128,libya,Italian
128,libya,french
129,liechtenstein,Alemannic
129,liechtenstein,German
130,lithuania,Lithuanian
131,luxembourg,Luxermbourgish
131,luxembourg,french
132,macau,chinese
132,macau,Portuguese
133,macedonia,Macedonian
134,madagascar,Malagasy
134,madagascar,French
135,malawi,English
136,malaysia,Bahasa Melayu
136,malaysia,English
136,malaysia,Malay
136,malaysia,Tamil
136,malaysia,Telugu
136,malaysia,Malayalam
136,malaysia,Thai
136,malaysia,punjabi
137,maldives,Maldivian Dhivehi
137,maldives,English
138,mali,Bambara
139,malta,Maltese
139,malta,English
140,marshall-islands,Marshallese
141,martinique,french
142,mauritania,Hassaniya Arabic
143,mauritius,Creole
144,mayotte-island,french
145,mexico, Mayan
145,mexico,Spanish
145,mexico,Nahuatl
146,micronesia,Chukese
146,micronesia,Kosrean
146,micronesia,Yapase
146,micronesia,Pohnpeian
147,moldova,Moldovan
147,moldova,Russian
148,monaco,french
148,monaco,English
148,monaco,Italian
148,monaco,Monégasque
149,mongolia,Mongolian
150,montenegro,Serbian
150,montenegro,Montenegrin
151,montserrat,English
152,morocco,Berber 
152,morocco,Arabic
153,mozambique,Emakhuwa
153,mozambique,Mozambican
153,mozambique,Portuguese
154,namibia,German
154,namibia,English
155,nauru,Nauruan 
155,nauru,English
11,nepal,nepali
11,nepal,Maithali
11,nepal,Bhojpuri
11,nepal,Tamang
156,netherlands,Dutch
156,netherlands,Frisian
157,netherlands-antilles,Dutch
157,netherlands-antilles,English
158,new-caledonia,french
159,new-zealand,English
159,new-zealand,Maori
160,nicaragua,Spanish 
161,niger,French
161,niger,Hausa
162,nigeria,Hausa
162,nigeria,Yoruba
162,nigeria,Ibo
162,nigeria,Fulani
162,nigeria,English
163,niue,Niue
163,niue,English
120,norfolk-island,Norfuk
120,norfolk-island,English
238,north-korea,korean
164,northern-mariana-islands,Chamorro
164,northern-mariana-islands,Carolinian
164,northern-mariana-islands,English
165,norway,Bokmål Norwegian
165,norway,Nynorsk Norwegian
166,oman,Baluchi
166,oman,Arabic
166,oman,English
166,oman,Urdu
167,pakistan,Sindhi
167,pakistan,Pashtu 
167,pakistan,Balochi
167,pakistan,Punjabi
168,palau,Palauan
168,palau,Sonsoralese
168,palau,English
169,palestine,Hebrew
169,palestine,Arabic
169,palestine,English
170,panama,spanish
171,papua-new-guinea,papua-new-guinea
171,papua-new-guinea,Tok Pisin
171,papua-new-guinea,English
172,paraguay,Spanish
172,paraguay,Guaraní
173,peru,spanish
173,peru,Quéchua
239,philippines,Filipino 
239,philippines,Tagalog
239,philippines,Cebuano
239,philippines,Ilocano
239,philippines,Bicol
174,pitcairn,English
12,poland, Polish 
175,portugal,Mirandese
175,portugal,Portuguese
176,puerto-rico,spanish
176,puerto-rico,English
66,qatar,Arabic
66,qatar,English
177,republic-of-congo,french
178,reunion-island,English
13,romania, Romanian 
13,romania,Hungarian
13,romania,German
179,russia,Russian
185,rwanda,Kinyarwanda
185,rwanda,french
185,rwanda,English
186,san-marino,Italian
187,sao-tome-principe,Portuguese
188,saudi-arabia,Arabic
189,senegal,French
189,senegal,Wolof
189,senegal,Pulaar
190,serbia,Serbian
190,serbia, Romanian
190,serbia,Hungarian
191,seychelles,Seselwa Creole
14,sierra-leone,English
14,sierra-leone,Mende
242,singapore,Mandarin
242,singapore,English
242,singapore,Malay
242,singapore,Hokkien
192,sint-maarten,Dutch
192,sint-maarten,English
193,slovakia,Slovak
194,slovenia,Slovenian
195,solomon-islands, Melanesian pidgin
196,somalia,Somali
196,somalia,Arabic
196,somalia,English
196,somalia,Italian
240,south-africa,IsiZulu
240,south-africa,IsiXhosa
240,south-africa,Afrikaans
240,south-africa,Sepedi
10,south-georgia-south-sandwich-islands,latin
10,south-georgia-south-sandwich-islands,English
241,south-korea,korean
15,south-sudan,English
197,spain,Castilian Spanish
243,sri-lanka,Sinhala
243,sri-lanka,Tamil
180,st-barthelemy,french
181,st-helena,English
182,st-kitts,English
244,st-lucia,English
183,st-martin,Dutch
183,st-martin,English
184,st-pierre-miquelon,french
198,st-vincent,English
199,sudan,Nubian
199,sudan,Arabic
199,sudan,Ta Bedawie
200,suriname,Surinamese
200,suriname,Dutch
201,swaziland, siSwati
201,swaziland,English
202,sweden,Swedish
203,switzerland,German
203,switzerland,French
204,syria,Arabic
204,syria,Kurdish
204,syria,Armenian
204,syria, Aramaic
205,taiwan, Taiwanese
205,taiwan,chinese
206,tajikistan,Tajik 
206,tajikistan,Russian
207,tanzania,Swahili
207,tanzania,English
246,thailand,Thai
246,thailand,English
208,timor-leste,Tetun
208,timor-leste,Portuguese
245,togo,french
209,tokelau,Tokelauan
210,tonga,Tongan 
210,tonga,English
211,trinidad-tobago,English
211,trinidad-tobago,hindi
211,trinidad-tobago,french
211,trinidad-tobago,spanish
211,trinidad-tobago,chinese
16,tunisia,Arabic
16,tunisia,french
212,turkey,Turkish
212,turkey,Kurdish
212,turkey,Dimli
213,turkmenistan,Turkmen
213,turkmenistan,Russian
214,turks-caicos,English
215,tuvalu,Tuvaluan
215,tuvalu,Samoan
215,tuvalu,Kiribat
216,uganda,Arabic
216,uganda,Swahili
216,uganda,English
217,ukraine,Ukrainian
217,ukraine,Russian
18,united-arab-emirates,Arabic
18,united-arab-emirates,hindi
18,united-arab-emirates,persian
18,united-arab-emirates,Urdu
19,united-kingdom,Welsh
19,united-kingdom,Scots Gaelic
19,united-kingdom,English
247,united-states,English
248,united-states-minor-outlying-islands,English
218,united-states-virgin-islands,English
219,uruguay,spanish
220,uzbekistan,Uzbek 
220,uzbekistan,Russian
221,vanuatu,Bislama
221,vanuatu,english
221,vanuatu,french
222,vatican-city,Latin
222,vatican-city,french
222,vatican-city,Italian
17,venezuela,spanish
223,vietnam,Vietnamese
223,vietnam,Khmer
223,vietnam,chinese
249,wallis-futuna,french
224,western-sahara,Arabic
224,western-sahara,spanish
225,western-samoa,Samoan
225,western-samoa,English
226,yemen,Arabic
227,zambia,Bemba
227,zambia,Kaonda
227,zambia,English
227,zambia,Nyanja
263,zimbabwe,Shona
263,zimbabwe,Ndebele
263,zimbabwe,English
